----
Total count: 944
----

Range: 2017 - 2021 | Size: 100

Range: 2016 - 2020 | Size: 71

Range: 2018 - 2022 | Size: 64

Range: 2019 - 2023 | Size: 40

Range: 2016 - 2021 | Size: 40

Range: 2015 - 2019 | Size: 40

Range: 2017 - 2022 | Size: 33

Range: 2018 - 2023 | Size: 31

Range: 2014 - 2018 | Size: 29

Range: 2013 - 2017 | Size: 27

Range: 2012 - 2016 | Size: 27

Range: undefined | Size: 26

Range: 2018 - 2020 | Size: 26

Range: 2019 - 2021 | Size: 22

Range: 2017 - 2019 | Size: 22

Range: 2011 - 2015 | Size: 22

Range: 2015 - 2020 | Size: 19

Range: 2014 - 2019 | Size: 19

Range: 2015 - 2017 | Size: 18

Range: 2016 - 2018 | Size: 16

Range: 2019 - 2024 | Size: 15

Range: 2010 - 2014 | Size: 14

Range: 2009 - 2013 | Size: 12

Range: 2006 - 2010 | Size: 12

Range: 2005 - 2009 | Size: 12

Range: 2008 - 2012 | Size: 11

Range: 2011 - 2016 | Size: 10

Range: 2010 - 2015 | Size: 10

Range: 2012 - 2017 | Size: 9

Range: 2018 - 2019 | Size: 8

Range: 2013 - 2018 | Size: 8

Range: 2009 - 2014 | Size: 8

Range: 2007 - 2011 | Size: 7

Range: 2019 - 2020 | Size: 6

Range: 2008 - 2013 | Size: 6

Range: 2013 - 2016 | Size: 4

Range: 1986 - 1990 | Size: 4

Range: 2017 - 2020 | Size: 3

Range: 2014 - 2016 | Size: 3

Range: 2013 - 2015 | Size: 3

Range: 2011 - 2013 | Size: 3

Range: 2005 - 2010 | Size: 3

Range: 1978 - 1983 | Size: 3

Range: 2019 | Size: 2

Range: 2018 - 2021 | Size: 2

Range: 2009 - 2010 | Size: 2

Range: 2007 - 2012 | Size: 2

Range: 2006 - 2011 | Size: 2

Range: 2004 - 2006 | Size: 2

Range: 2003 - 2008 | Size: 2

Range: 2003 - 2007 | Size: 2

Range: 2003 - 2005 | Size: 2

Range: 2002 - 2006 | Size: 2

Range: 2000 - 2004 | Size: 2

Range: 1998 - 2002 | Size: 2

Range: 1993 - 1995 | Size: 2

Range: 1991 - 1996 | Size: 2

Range: 1990 - 1994 | Size: 2

Range: 1988 - 1992 | Size: 2

Range: 1986 - 1991 | Size: 2

Range: 1985 - 1989 | Size: 2

Range: 2018 | Size: 1

Range: 2017 - 2018 | Size: 1

Range: 2017 - 2017 | Size: 1

Range: 2017 | Size: 1

Range: 2016 - 2022 | Size: 1

Range: 2016 | Size: 1

Range: 2015 - 2018 | Size: 1

Range: 2015 | Size: 1

Range: 2014 - 2020 | Size: 1

Range: 2014 - 2015 | Size: 1

Range: 2012 - 2015 | Size: 1

Range: 2010 - 2013 | Size: 1

Range: 2010 - 2012 | Size: 1

Range: 2009 - 2012 | Size: 1

Range: 2009 - 2011 | Size: 1

Range: 2008 - 2014 | Size: 1

Range: 2008 - 2011 | Size: 1

Range: 2007 - 2008 | Size: 1

Range: 2005 - 2008 | Size: 1

Range: 2004 - 2008 | Size: 1

Range: 1997 - 2001 | Size: 1

Range: 1997 - 2000 | Size: 1

Range: 1997 - 1999 | Size: 1

Range: 1996 - 2001 | Size: 1

Range: 1995 - 1999 | Size: 1

Range: 1995 - 1996 | Size: 1

Range: 1994 - 1999 | Size: 1

Range: 1994 - 1998 | Size: 1

Range: 1994 - 1996 | Size: 1

Range: 1993 - 1999 | Size: 1

Range: 1992 - 1997 | Size: 1

Range: 1991 - 1995 | Size: 1

Range: 1990 - 1995 | Size: 1

Range: 1990 - 1993 | Size: 1

Range: 1989 - 1993 | Size: 1

Range: 1988 - 1993 | Size: 1

Range: 1987 - 1991 | Size: 1

Range: 1984 - 1988 | Size: 1

Range: 1983 - 1987 | Size: 1

Range: 1982 - 1986 | Size: 1

Range: 1979 - 1996 | Size: 1

Range: 1975 - 1980 | Size: 1
